,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
2588,2588,49209,Sg Buloh Wetland Reserve,1.44513667520796,103.72983812848105,Neo Tiew Cres,LIM CHU KANG
2589,2589,49211,PUB Quarter,1.43868741216241,103.73509597131071,Kranji Way,LIM CHU KANG
2590,2590,49219,Opp PUB Quarter,1.43853758245996,103.7356230093544,Kranji Way,LIM CHU KANG
2591,2591,49229,Long Kuan Hung Crocodile Farm,1.44030777799976,103.7321016670081,Neo Tiew Cres,LIM CHU KANG
2592,2592,49239,Opp Nyee Phoe Group,1.4405789318193103,103.72792746500629,Neo Tiew Cres,LIM CHU KANG
2593,2593,49249,Aft Neo Tiew Rd,1.4370552073333502,103.72546776099372,Neo Tiew Cres,LIM CHU KANG
2594,2594,50011,Opp Parish Of Christ Ch,1.3118199999951798,103.84719777801662,Kg Java Rd,KALLANG
2595,2595,50019,Parish Of Christ Ch,1.31194891032358,103.8476385617414,Keng Lee Rd,KALLANG
2596,2596,50021,United Sq/Bef Novena Stn,1.3173533543911,103.84421700922243,Thomson Rd,NOVENA
2597,2597,50029,Opp United Sq,1.3164794161467301,103.84484281963607,Thomson Rd,NOVENA
2598,2598,50031,Opp Novena Ch,1.3212730729279099,103.84177172353407,Thomson Rd,NOVENA
2599,2599,50037,Novena Stn Exit B,1.32109968376279,103.84224304873379,Thomson Rd,NOVENA
2600,2600,50038,Novena Stn,1.31962671001555,103.84343862536717,Thomson Rd,NOVENA
2601,2601,50041,Novena Lodge,1.3236233332491398,103.84161545670324,Thomson Rd,NOVENA
2602,2602,50049,Opp Novena Lodge,1.32354108650178,103.84189326889334,Thomson Rd,NOVENA
2603,2603,50051,Thomson Med Ctr,1.3258780559999999,103.84181190000001,Thomson Rd,NOVENA
2604,2604,50059,Opp Thomson Med Ctr,1.32489453398384,103.84211744421322,Thomson Rd,NOVENA
2605,2605,50061,Opp Hotel Royal,1.31743500021924,103.84143789916806,Newton Rd,NOVENA
2606,2606,50069,Hotel Royal,1.31702163080967,103.84164776289316,Newton Rd,NOVENA
2607,2607,50071,Bef Carlisle Rd,1.31572306955077,103.84707504887321,Norfolk Rd,KALLANG
2608,2608,50079,Opp Carlisle Rd,1.3158394166193101,103.84693372586678,Norfolk Rd,KALLANG
2609,2609,50081,Pek Kio Mkt,1.31663163574561,103.85024851239793,Owen Rd,KALLANG
