,BusStopCode,Description,Latitude,Longitude,RoadName
1872,43091,Bef Cashew Stn,1.36863253283887,103.76474109358477,Upp Bt Timah Rd
1873,43099,Assumption Pathway Sch,1.36872205121157,103.76498636840047,Upp Bt Timah Rd
1874,43109,Cashew Stn,1.37043731031208,103.76391083181434,Upp Bt Timah Rd
1875,43111,Min Of Defence,1.37229972154626,103.76298146518725,Upp Bt Timah Rd
1876,43119,Bef Hazel Pk Terr,1.37337830995776,103.76300821940876,Upp Bt Timah Rd
1877,43121,Aft Cashew Terr,1.37118669285497,103.76669327756966,Cashew Rd
1878,43129,Cashew Pk Condo,1.37162881663563,103.76760246505873,Cashew Rd
1879,43131,Bt Panjang Pr Sch,1.37331749997168,103.7700624999975,Cashew Rd
1880,43139,Opp Bt Panjang Pr Sch,1.37322530507327,103.77029311221521,Cashew Rd
1881,43141,Opp Blk 291A,1.34421891680123,103.75586020801809,Bt Batok East Ave 6
1882,43149,Blk 291A,1.34399483001027,103.7561003299722,Bt Batok East Ave 6
1883,43151,Opp Glendale Pk Condo,1.36363608446232,103.76489101192684,Hillview Ave
1884,43159,Bef Glendale Pk Condo,1.36439838852488,103.76517947881914,Hillview Ave
1885,43161,Blk 272,1.34883190699072,103.75766163401367,Bt Batok East Ave 4
1886,43169,Blk 254,1.34931074950483,103.7578877455261,Bt Batok East Ave 4
1887,43171,Blk 229,1.34859644473183,103.75460496382075,Bt Batok East Ave 3
1888,43179,Blk 231,1.3489707828044,103.75430345301592,Bt Batok East Ave 3
1889,43181,Keming Pr Sch,1.34648944401178,103.75681722199707,Bt Batok East Ave 3
1890,43189,Blk 283,1.34694984968785,103.75681389918313,Bt Batok East Ave 3
1891,43191,Blk 288C,1.34638492790435,103.75931336284916,Bt Batok East Ave 6
1892,43199,Ch Of St. Mary,1.34663409083885,103.75920055445125,Bt Batok East Ave 6
1893,43201,Opp Autobacs,1.34694499998204,103.76464638897035,Bt Batok East Ave 6
1894,43209,Autobacs,1.34697997431974,103.76384248905434,Bt Batok East Ave 6
1895,43211,Sbst Bt Batok Depot,1.34087277799084,103.75507916698768,Bt Batok St 23
1896,43219,Opp Sbst Bt Batok Depot,1.3413740257309,103.75446757134857,Bt Batok St 23
1897,43221,Blk 267,1.34885995836966,103.76067444562183,Bt Batok East Ave 2
1898,43229,Opp Blk 266,1.34904928626369,103.76096016466906,Bt Batok East Ave 2
1899,43231,Opp The Petals Condo,1.35393625714127,103.76006304222618,Hillview Ave
1900,43239,The Petals Condo,1.35308576389352,103.76002837789773,Hillview Ave
1901,43241,Opp Hillview Apts,1.35584392851879,103.76188709548238,Hillview Ave
1902,43249,Hillview Apts,1.35565052307818,103.76204709426311,Hillview Ave
1903,43251,Hillbrooks,1.35859534411792,103.76319656643706,Hillview Ave
1904,43259,Opp Hillbrooks,1.35757277797812,103.76266305599302,Hillview Ave
1905,43261,Opp Hillview Hts,1.3614550000211,103.76436750000349,Hillview Ave
1906,43267,Hillview Hts,1.36131333302001,103.76453111102046,Hillview Ave
1907,43268,Hillington Green Condo,1.36036935442362,103.76427530511685,Hillview Ave
